Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Close Date,Close Time,Commission,Duration,Emotions & Habits,Entry Price,Executions,Exit Price,Gross P&L,Trade Risk,Initial Target,Instrument,Spread Type,Market Context,Mistakes,Net P&L,Net ROI,Open Date,Open Time,Outcomes & Learnings,Pips,Reward Ratio,Points,Position MAE,Position MFE,Price MAE,Price MFE,Realized RR,Return Per Pip,Reviewed,Sector,Setups,Side,Status,Playbook,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Trade Type,Rating,Quantity,Zella Score
JPATrades,614.4,1574.4,0.384,0.984,,,,,2025-05-23,18:00:00 EDT,0.0,289676.636,blind faith,0.61,8,0.0,960.0,-455.0,1785.0,2025-05-23 140 CALL,single,bearish trend,"averaged down, too shortdated, no plan",960.0,1.56097561,2025-05-20,09:32:03 EDT,"",,3.92307692,,,,,,2.10989011,,true,"tech, chip","",long,Win,"",NVDA,,,0.0,0.0,"callout, swing trade, stock",1.0,16.0,
JPATrades,192.0,308.0,0.096,0.154,,,,,2025-05-23,18:00:00 EDT,0.0,289632.202,boredom,0.11,8,0.0,46.0,0.0,559.0,2025-05-23 220 CALL,single,bearish trend,averaged down,46.0,0.5974026,2025-05-20,09:32:47 EDT,"",,,,,,,,,,true,tech,"",long,Win,"",AAPL,,,0.0,0.0,"idea trade, swing trade, stock",1.0,20.0,
JPATrades,1310.0,1460.0,3.275,3.65,50.68,296.0,5.05,2025-05-27 17:48:00 UTC,2025-05-27,10:48:59 EDT,0.0,429102.479,"",3.56,6,3.59,150.0,0.0,0.0,2025-05-30 590 CALL,single,bearish trend,no plan,150.0,0.11450382,2025-05-22,11:37:16 EDT,"",,,,-309.0,166.0,1.5,4.39,,,true,"","",long,Win,"",SPY,,,0.0,0.0,"etf, day trade",1.0,4.0,90.36144578
JPATrades,680.0,820.0,3.4,4.1,62.22,225.0,5.05,2025-05-27 17:51:00 UTC,2025-05-27,12:15:33 EDT,0.0,8025.314,"",3.5,4,4.2,140.0,0.0,0.0,2025-06-06 400 CALL,single,bullish trend,"sold early, low risk-reward, no plan",140.0,0.20588235,2025-05-27,10:01:47 EDT,"",,,,-32.0,148.0,3.15,4.28,,,true,tech,"",long,Win,"",TSLA,,,0.0,0.0,"stock, day trade",,2.0,94.59459459
JPATrades,750.0,845.0,7.5,8.45,77.87,122.0,8.72,2025-05-27 17:56:00 UTC,2025-05-27,13:22:48 EDT,0.0,2790.479,"",7.5,2,8.45,95.0,0.0,0.0,2025-06-13 400 CALL,single,bullish trend,"",95.0,0.12666667,2025-05-27,12:36:17 EDT,"high risk-reward, missed runner",,,,0.0,110.0,7.5,8.6,,,true,tech,"break and retest current day range, gap and go",long,Win,"",TSLA,,,0.0,0.0,"high conviction, day trade, stock, idea trade",4.0,1.0,86.36363636
JPATrades,232.0,287.0,2.32,2.87,50.93,108.0,3.4,2025-05-29 13:00:00 UTC,2025-05-29,09:30:09 EDT,0.0,76805.215,"",2.32,2,2.87,55.0,0.0,0.0,2025-06-20 150 CALL,single,bullish trend,"",55.0,0.23706897,2025-05-28,12:10:04 EDT,lucky,,,,-40.0,108.0,1.92,3.4,,,true,"tech, chip",news,long,Win,"",NVDA,,,0.0,0.0,"swing trade, stock, idea trade",2.5,1.0,50.92592593
JPATrades,1795.8,2449.8,2.993,4.083,77.03,849.0,4.55,2025-05-29 13:00:00 UTC,2025-05-29,09:30:17 EDT,0.0,86203.221,overconfident,3.24,5,4.16,654.0,-626.0,604.0,2025-05-30 525 CALL,single,bullish trend,"averaged down, ignored plan, stop not honored",654.0,0.36414254,2025-05-28,09:33:34 EDT,lucky,,0.96485623,,-576.0,849.0,1.7,4.55,1.04472843,,true,tech,news,long,Win,"",QQQ,,,0.0,0.0,"swing trade, etf, idea trade",2.0,6.0,77.03180212
JPATrades,369.0,376.0,3.69,3.76,,,,,2025-05-29,09:33:33 EDT,0.0,52.374,"",3.69,2,3.76,7.0,0.0,0.0,2025-06-02 526 CALL,single,range,"",7.0,0.01897019,2025-05-29,09:32:41 EDT,acknowledged mistake quickly,,,,-2.0,15.0,3.67,3.84,,,true,tech,"",long,Win,"",QQQ,,,0.0,0.0,"day trade, etf",4.0,1.0,46.66666667
JPATrades,123.0,48.0,0.41,0.16,,3.0,0.42,2025-05-28 11:00:00 UTC,2025-05-30,13:27:17 EDT,0.0,250755.02,"",0.41,3,0.16,-75.0,0.0,0.0,2025-06-20 30 CALL,single,"",no plan,-75.0,-0.6097561,2025-05-27,15:48:02 EDT,"",,,,-75.0,3.0,0.16,0.42,,,true,"","",long,Loss,"",CPNG,,,0.0,0.0,"stock, swing trade",1.0,3.0,-100.0
JPATrades,216.0,84.0,2.16,0.84,,,,,2025-05-30,13:27:50 EDT,0.0,87427.43,boredom,2.16,2,0.84,-132.0,0.0,0.0,2025-06-06 600 CALL,single,range,"stop not honored, no plan",-132.0,-0.61111111,2025-05-29,13:10:42 EDT,"",,,,-146.0,0.0,0.7,2.0,,,true,"","",long,Loss,"",SPY,,,0.0,0.0,"swing trade, etf, idea trade",,1.0,-90.4109589
